Year RCP3PD RCP45 RCP45SCP45TO3PD RCP6 RCP6SCP6TO45 RCP85
2174 -0.9308 1.3403 -5.107 2.46596 -3.7832 22.264922
2175 -0.9308 1.33 -5.107 2.4356 -3.7832 21.995128
2176 -0.9308 1.3197 -5.107 2.40884 -3.7832 21.725333
2177 -0.9308 1.3094 -5.107 2.38208 -3.7832 21.455538
2178 -0.9308 1.2991 -5.107 2.35532 -3.7832 21.185743
2179 -0.9308 1.2888 -5.107 2.32856 -3.7832 20.915948
2180 -0.9308 1.2785 -5.107 2.3018 -3.7832 20.646153
2181 -0.9308 1.26966 -5.107 2.27802 -3.7832 20.376358
2182 -0.9308 1.26082 -5.107 2.25424 -3.7832 20.106563
2183 -0.9308 1.25198 -5.107 2.23046 -3.7832 19.836768
2184 -0.9308 1.24314 -5.107 2.20668 -3.7832 19.566973
2185 -0.9308 1.2343 -5.107 2.1829 -3.7832 19.297179
2186 -0.9308 1.22546 -5.107 2.1617 -3.7832 19.027384
2187 -0.9308 1.21662 -5.107 2.1405 -3.7832 18.757589
2188 -0.9308 1.20778 -5.107 2.1193 -3.7832 18.487794
2189 -0.9308 1.19894 -5.107 2.0981 -3.7832 18.217999
2190 -0.9308 1.1901 -5.107 2.0769 -3.7832 17.948204
2191 -0.9308 1.18257 -5.107 2.05792 -3.7832 17.678409
2192 -0.9308 1.17504 -5.107 2.03894 -3.7832 17.408614
2193 -0.9308 1.16751 -5.107 2.01996 -3.7832 17.138819
2194 -0.9308 1.15998 -5.107 2.00098 -3.7832 16.869024
2195 -0.9308 1.15245 -5.107 1.982 -3.7832 16.59923
2196 -0.9308 1.14492 -5.107 1.96498 -3.7832 16.329435
2197 -0.9308 1.13739 -5.107 1.94796 -3.7832 16.05964
2198 -0.9308 1.12986 -5.107 1.93094 -3.7832 15.789845
2199 -0.9308 1.12233 -5.107 1.91392 -3.7832 15.52005
2200 -0.9308 1.1148 -5.107 1.8969 -3.7832 15.250255
2201 -0.9308 1.10836 -5.107 1.88235 -3.7832 14.98046
2202 -0.9308 1.10192 -5.107 1.8678 -3.7832 14.710665
2203 -0.9308 1.09548 -5.107 1.85325 -3.7832 14.44087
2204 -0.9308 1.08904 -5.107 1.8387 -3.7832 14.171076
2205 -0.9308 1.0826 -5.107 1.82415 -3.7832 13.901281
2206 -0.9308 1.07616 -5.107 1.8096 -3.7832 13.631486
2207 -0.9308 1.06972 -5.107 1.79505 -3.7832 13.361691
2208 -0.9308 1.06328 -5.107 1.7805 -3.7832 13.091896
2209 -0.9308 1.05684 -5.107 1.76595 -3.7832 12.822101
2210 -0.9308 1.0504 -5.107 1.7514 -3.7832 12.552306
2211 -0.9308 1.04486 -5.107 1.73953 -3.7832 12.282511
2212 -0.9308 1.03932 -5.107 1.72766 -3.7832 12.012716
2213 -0.9308 1.03378 -5.107 1.71579 -3.7832 11.742921
2214 -0.9308 1.02824 -5.107 1.70392 -3.7832 11.473127
2215 -0.9308 1.0227 -5.107 1.69205 -3.7832 11.203332
2216 -0.9308 1.01716 -5.107 1.68018 -3.7832 10.933537
2217 -0.9308 1.01162 -5.107 1.66831 -3.7832 10.663742
2218 -0.9308 1.00608 -5.107 1.65644 -3.7832 10.393947
2219 -0.9308 1.00054 -5.107 1.64457 -3.7832 10.124152
2220 -0.9308 0.995 -5.107 1.6327 -3.7832 9.8543571
2221 -0.9308 0.99023 -5.00344 1.62294 -3.7832 9.5845622
2222 -0.9308 0.98546 -4.89988 1.61318 -3.7832 9.3147673
2223 -0.9308 0.98069 -4.79632 1.60342 -3.7832 9.0449724
2224 -0.9308 0.97592 -4.69276 1.59366 -3.7832 8.7751776
2225 -0.9308 0.97115 -4.5892 1.5839 -3.7832 8.5053827
2226 -0.9308 0.96638 -4.48564 1.57414 -3.7832 8.2355878
2227 -0.9308 0.96161 -4.38208 1.56438 -3.7832 7.9657929
2228 -0.9308 0.95684 -4.27852 1.55462 -3.7832 7.695998
2229 -0.9308 0.95207 -4.17496 1.54486 -3.7832 7.4262031
2230 -0.9308 0.9473 -4.0714 1.5351 -3.7832 7.1564082
2231 -0.9308 0.94314 -3.96784 1.52697 -3.61404 6.8866133
2232 -0.9308 0.93898 -3.86428 1.51884 -3.44488 6.6168184
2233 -0.9308 0.93482 -3.76072 1.51071 -3.27572 6.3470235
2234 -0.9308 0.93066 -3.65716 1.50258 -3.10656 6.0772286
2235 -0.9308 0.9265 -3.5536 1.49445 -2.9374 5.8074337
2236 -0.9308 0.92234 -3.45004 1.48632 -2.76824 5.5376388
2237 -0.9308 0.91818 -3.34648 1.47819 -2.59908 5.2678439
2238 -0.9308 0.91402 -3.24292 1.47006 -2.42992 4.998049
2239 -0.9308 0.90986 -3.13936 1.46193 -2.26076 4.7282541
2240 -0.9308 0.9057 -3.0358 1.4538 -2.0916 4.4584592
2241 -0.9308 0.90206 -2.9322143 1.44702 -1.9224375 4.1886643
2242 -0.9308 0.89842 -2.8286286 1.44024 -1.753275 3.9188694
2243 -0.9308 0.89478 -2.7250429 1.43346 -1.5841125 3.6490745
2244 -0.9308 0.89114 -2.6214571 1.42668 -1.41495 3.3792796
2245 -0.9308 0.8875 -2.5178714 1.4199 -1.2457875 3.1094847
2246 -0.9308 0.88386 -2.4142857 1.41312 -1.076625 2.8396898
2247 -0.9308 0.88022 -2.3107 1.40634 -0.9074625 2.5698949
2248 -0.9308 0.87658 -2.3068 1.39956 -0.7383 2.3001
2249 -0.9308 0.87294 -2.2569 1.39278 -0.5147 2.088
2250 -0.9308 0.8693 -2.1708 1.386 -0.4636 2.0458
2251 -0.9308 0.8661 -2.1289 1.380872 -0.4232 2.05004
2252 -0.9308 0.8629 -2.0919 1.375744 -0.3849 2.05428
2253 -0.9308 0.8597 -2.0577 1.370616 -0.35 2.05852
2254 -0.9308 0.8565 -2.0267 1.365488 -0.3177 2.06276
2255 -0.9308 0.8533 -1.9981 1.36036 -0.2877 2.067
2256 -0.9308 0.8501 -1.97316 1.355232 -0.26266 2.07852
2257 -0.9308 0.8469 -1.94822 1.350104 -0.23762 2.09004
2258 -0.9308 0.8437 -1.92328 1.344976 -0.21258 2.10156
2259 -0.9308 0.8405 -1.89834 1.339848 -0.18754 2.11308
2260 -0.9308 0.8373 -1.8734 1.33472 -0.1625 2.1246
2261 -0.9308 0.83445 -1.8511 1.329592 -0.14292 2.1217267
2262 -0.9308 0.8316 -1.8288 1.324464 -0.12334 2.1188533
2263 -0.9308 0.82875 -1.8065 1.319336 -0.10376 2.11598
2264 -0.9308 0.8259 -1.7842 1.314208 -0.08418 2.1131067
2265 -0.9308 0.82305 -1.7619 1.30908 -0.0646 2.1102333
2266 -0.9308 0.8202 -1.74512 1.303952 -0.04856 2.10736
2267 -0.9308 0.81735 -1.72834 1.298824 -0.03252 2.1044867
2268 -0.9308 0.8145 -1.71156 1.293696 -0.01648 2.1016133
2269 -0.9308 0.81165 -1.69478 1.288568 -0.00044 2.09874
2270 -0.9308 0.8088 -1.678 1.28344 0.0156 2.0958667
2271 -0.9308 0.80629 -1.66166 1.278312 0.02912 2.0929933
2272 -0.9308 0.80378 -1.64532 1.273184 0.04264 2.09012
2273 -0.9308 0.80127 -1.62898 1.268056 0.05616 2.0872467
2274 -0.9308 0.79876 -1.61264 1.262928 0.06968 2.0843733
2275 -0.9308 0.79625 -1.5963 1.2578 0.0832 2.0815
2276 -0.9308 0.79374 -1.58398 1.254232 0.091984 2.078004
2277 -0.9308 0.79123 -1.57166 1.250664 0.100768 2.074508
2278 -0.9308 0.78872 -1.55934 1.247096 0.109552 2.071012
2279 -0.9308 0.78621 -1.54702 1.243528 0.118336 2.067516
2280 -0.9308 0.7837 -1.5347 1.23996 0.12712 2.06402
2281 -0.9308 0.78142 -1.52238 1.236392 0.135904 2.060524
2282 -0.9308 0.77914 -1.51006 1.232824 0.144688 2.057028
2283 -0.9308 0.77686 -1.49774 1.229256 0.153472 2.053532
2284 -0.9308 0.77458 -1.48542 1.225688 0.162256 2.050036
2285 -0.9308 0.7723 -1.4731 1.22212 0.17104 2.04654
2286 -0.9308 0.77002 -1.46344 1.218552 0.179824 2.043044
2287 -0.9308 0.76774 -1.45378 1.214984 0.188608 2.039548
2288 -0.9308 0.76546 -1.44412 1.211416 0.197392 2.036052
2289 -0.9308 0.76318 -1.43446 1.207848 0.206176 2.032556
2290 -0.9308 0.7609 -1.4248 1.20428 0.21496 2.02906
2291 -0.9308 0.75884 -1.41568 1.200712 0.223744 2.025564
2292 -0.9308 0.75678 -1.40656 1.197144 0.232528 2.022068
2293 -0.9308 0.75472 -1.39744 1.193576 0.241312 2.018572
2294 -0.9308 0.75266 -1.38832 1.190008 0.250096 2.015076
2295 -0.9308 0.7506 -1.3792 1.18644 0.25888 2.01158
2296 -0.9308 0.74854 -1.37094 1.182872 0.267664 2.008084
2297 -0.9308 0.74648 -1.36268 1.179304 0.276448 2.004588
2298 -0.9308 0.74442 -1.35442 1.175736 0.285232 2.001092
2299 -0.9308 0.74236 -1.34616 1.172168 0.294016 1.997596
2300 -0.9308 0.7403 -1.3379 1.1686 0.3028 1.9941
2301 -0.9308 0.738714 -1.33099 1.165964 0.307172 1.991988
2302 -0.9308 0.737128 -1.32408 1.163328 0.311544 1.989876
2303 -0.9308 0.735542 -1.31717 1.160692 0.315916 1.987764
2304 -0.9308 0.733956 -1.31026 1.158056 0.320288 1.985652
2305 -0.9308 0.73237 -1.30335 1.15542 0.32466 1.98354
2306 -0.9308 0.730784 -1.29644 1.152784 0.329032 1.981428
2307 -0.9308 0.729198 -1.28953 1.150148 0.333404 1.979316
2308 -0.9308 0.727612 -1.28262 1.147512 0.337776 1.977204
2309 -0.9308 0.726026 -1.27571 1.144876 0.342148 1.975092
2310 -0.9308 0.72444 -1.2688 1.14224 0.34652 1.97298
2311 -0.9308 0.722854 -1.26332 1.139604 0.350892 1.970868
2312 -0.9308 0.721268 -1.25784 1.136968 0.355264 1.968756
2313 -0.9308 0.719682 -1.25236 1.134332 0.359636 1.966644
2314 -0.9308 0.718096 -1.24688 1.131696 0.364008 1.964532
2315 -0.9308 0.71651 -1.2414 1.12906 0.36838 1.96242
2316 -0.9308 0.714924 -1.23592 1.126424 0.372752 1.960308
2317 -0.9308 0.713338 -1.23044 1.123788 0.377124 1.958196
2318 -0.9308 0.711752 -1.22496 1.121152 0.381496 1.956084
2319 -0.9308 0.710166 -1.21948 1.118516 0.385868 1.953972
2320 -0.9308 0.70858 -1.214 1.11588 0.39024 1.95186
2321 -0.9308 0.706994 -1.20966 1.113244 0.394612 1.949748
2322 -0.9308 0.705408 -1.20532 1.110608 0.398984 1.947636
2323 -0.9308 0.703822 -1.20098 1.107972 0.403356 1.945524
2324 -0.9308 0.702236 -1.19664 1.105336 0.407728 1.943412
2325 -0.9308 0.70065 -1.1923 1.1027 0.4121 1.9413
2326 -0.9308 0.699064 -1.18796 1.100632 0.414264 1.939188
2327 -0.9308 0.697478 -1.18362 1.098564 0.416428 1.937076
2328 -0.9308 0.695892 -1.17928 1.096496 0.418592 1.934964
2329 -0.9308 0.694306 -1.17494 1.094428 0.420756 1.932852
2330 -0.9308 0.69272 -1.1706 1.09236 0.42292 1.93074
2331 -0.9308 0.691134 -1.16716 1.090292 0.425084 1.928628
2332 -0.9308 0.689548 -1.16372 1.088224 0.427248 1.926516
2333 -0.9308 0.687962 -1.16028 1.086156 0.429412 1.924404
2334 -0.9308 0.686376 -1.15684 1.084088 0.431576 1.922292
2335 -0.9308 0.68479 -1.1534 1.08202 0.43374 1.92018
2336 -0.9308 0.683204 -1.14996 1.079952 0.435904 1.918068
2337 -0.9308 0.681618 -1.14652 1.077884 0.438068 1.915956
2338 -0.9308 0.680032 -1.14308 1.075816 0.440232 1.913844
2339 -0.9308 0.678446 -1.13964 1.073748 0.442396 1.911732
2340 -0.9308 0.67686 -1.1362 1.07168 0.44456 1.90962
2341 -0.9308 0.675274 -1.13352 1.069612 0.446724 1.907508
2342 -0.9308 0.673688 -1.13084 1.067544 0.448888 1.905396
2343 -0.9308 0.672102 -1.12816 1.065476 0.451052 1.903284
2344 -0.9308 0.670516 -1.12548 1.063408 0.453216 1.901172
2345 -0.9308 0.66893 -1.1228 1.06134 0.45538 1.89906
2346 -0.9308 0.667344 -1.12012 1.059272 0.457544 1.896948
2347 -0.9308 0.665758 -1.11744 1.057204 0.459708 1.894836
2348 -0.9308 0.664172 -1.11476 1.055136 0.461872 1.892724
2349 -0.9308 0.662586 -1.11208 1.053068 0.464036 1.890612
2350 -0.9308 0.661 -1.1094 1.051 0.4662 1.8885
2351 -0.9308 0.659886 -1.107212 1.049292 0.467188 1.885994
2352 -0.9308 0.658772 -1.105024 1.047584 0.468176 1.883488
2353 -0.9308 0.657658 -1.102836 1.045876 0.469164 1.880982
2354 -0.9308 0.656544 -1.100648 1.044168 0.470152 1.878476
2355 -0.9308 0.65543 -1.09846 1.04246 0.47114 1.87597
2356 -0.9308 0.654316 -1.096272 1.040752 0.472128 1.873464
2357 -0.9308 0.653202 -1.094084 1.039044 0.473116 1.870958
2358 -0.9308 0.652088 -1.091896 1.037336 0.474104 1.868452
2359 -0.9308 0.650974 -1.089708 1.035628 0.475092 1.865946
2360 -0.9308 0.64986 -1.08752 1.03392 0.47608 1.86344
2361 -0.9308 0.648746 -1.085332 1.032212 0.477068 1.860934
2362 -0.9308 0.647632 -1.083144 1.030504 0.478056 1.858428
2363 -0.9308 0.646518 -1.080956 1.028796 0.479044 1.855922
2364 -0.9308 0.645404 -1.078768 1.027088 0.480032 1.853416
2365 -0.9308 0.64429 -1.07658 1.02538 0.48102 1.85091
2366 -0.9308 0.643176 -1.074392 1.023672 0.482008 1.848404
2367 -0.9308 0.642062 -1.072204 1.021964 0.482996 1.845898
2368 -0.9308 0.640948 -1.070016 1.020256 0.483984 1.843392
2369 -0.9308 0.639834 -1.067828 1.018548 0.484972 1.840886
2370 -0.9308 0.63872 -1.06564 1.01684 0.48596 1.83838
2371 -0.9308 0.637606 -1.063452 1.015132 0.486948 1.835874
2372 -0.9308 0.636492 -1.061264 1.013424 0.487936 1.833368
2373 -0.9308 0.635378 -1.059076 1.011716 0.488924 1.830862
2374 -0.9308 0.634264 -1.056888 1.010008 0.489912 1.828356
2375 -0.9308 0.63315 -1.0547 1.0083 0.4909 1.82585
2376 -0.9308 0.632036 -1.053516 1.006816 0.491244 1.823344
2377 -0.9308 0.630922 -1.052332 1.005332 0.491588 1.820838
2378 -0.9308 0.629808 -1.051148 1.003848 0.491932 1.818332
2379 -0.9308 0.628694 -1.049964 1.002364 0.492276 1.815826
2380 -0.9308 0.62758 -1.04878 1.00088 0.49262 1.81332
2381 -0.9308 0.626466 -1.047596 0.999396 0.492964 1.810814
2382 -0.9308 0.625352 -1.046412 0.997912 0.493308 1.808308
2383 -0.9308 0.624238 -1.045228 0.996428 0.493652 1.805802
2384 -0.9308 0.623124 -1.044044 0.994944 0.493996 1.803296
2385 -0.9308 0.62201 -1.04286 0.99346 0.49434 1.80079
2386 -0.9308 0.620896 -1.041676 0.991976 0.494684 1.798284
2387 -0.9308 0.619782 -1.040492 0.990492 0.495028 1.795778
2388 -0.9308 0.618668 -1.039308 0.989008 0.495372 1.793272
2389 -0.9308 0.617554 -1.038124 0.987524 0.495716 1.790766
2390 -0.9308 0.61644 -1.03694 0.98604 0.49606 1.78826
2391 -0.9308 0.615326 -1.035756 0.984556 0.496404 1.785754
2392 -0.9308 0.614212 -1.034572 0.983072 0.496748 1.783248
2393 -0.9308 0.613098 -1.033388 0.981588 0.497092 1.780742
2394 -0.9308 0.611984 -1.032204 0.980104 0.497436 1.778236
2395 -0.9308 0.61087 -1.03102 0.97862 0.49778 1.77573
2396 -0.9308 0.609756 -1.029836 0.977136 0.498124 1.773224
2397 -0.9308 0.608642 -1.028652 0.975652 0.498468 1.770718
2398 -0.9308 0.607528 -1.027468 0.974168 0.498812 1.768212
2399 -0.9308 0.606414 -1.026284 0.972684 0.499156 1.765706
2400 -0.9308 0.6053 -1.0251 0.9712 0.4995 1.7632
2401 -0.9308 0.604434 -1.024358 0.969888 0.499484 1.760278
2402 -0.9308 0.603568 -1.023616 0.968576 0.499468 1.757356
2403 -0.9308 0.602702 -1.022874 0.967264 0.499452 1.754434
2404 -0.9308 0.601836 -1.022132 0.965952 0.499436 1.751512
2405 -0.9308 0.60097 -1.02139 0.96464 0.49942 1.74859
2406 -0.9308 0.600104 -1.020648 0.963328 0.499404 1.745668
2407 -0.9308 0.599238 -1.019906 0.962016 0.499388 1.742746
2408 -0.9308 0.598372 -1.019164 0.960704 0.499372 1.739824
2409 -0.9308 0.597506 -1.018422 0.959392 0.499356 1.736902
2410 -0.9308 0.59664 -1.01768 0.95808 0.49934 1.73398
2411 -0.9308 0.595774 -1.016938 0.956768 0.499324 1.731058
2412 -0.9308 0.594908 -1.016196 0.955456 0.499308 1.728136
2413 -0.9308 0.594042 -1.015454 0.954144 0.499292 1.725214
2414 -0.9308 0.593176 -1.014712 0.952832 0.499276 1.722292
2415 -0.9308 0.59231 -1.01397 0.95152 0.49926 1.71937
2416 -0.9308 0.591444 -1.013228 0.950208 0.499244 1.716448
2417 -0.9308 0.590578 -1.012486 0.948896 0.499228 1.713526
2418 -0.9308 0.589712 -1.011744 0.947584 0.499212 1.710604
2419 -0.9308 0.588846 -1.011002 0.946272 0.499196 1.707682
2420 -0.9308 0.58798 -1.01026 0.94496 0.49918 1.70476
2421 -0.9308 0.587114 -1.009518 0.943648 0.499164 1.701838
2422 -0.9308 0.586248 -1.008776 0.942336 0.499148 1.698916
2423 -0.9308 0.585382 -1.008034 0.941024 0.499132 1.695994
2424 -0.9308 0.584516 -1.007292 0.939712 0.499116 1.693072
2425 -0.9308 0.58365 -1.00655 0.9384 0.4991 1.69015
2426 -0.9308 0.582784 -1.005808 0.937196 0.498884 1.687228
2427 -0.9308 0.581918 -1.005066 0.935992 0.498668 1.684306
2428 -0.9308 0.581052 -1.004324 0.934788 0.498452 1.681384
2429 -0.9308 0.580186 -1.003582 0.933584 0.498236 1.678462
2430 -0.9308 0.57932 -1.00284 0.93238 0.49802 1.67554
2431 -0.9308 0.578454 -1.002098 0.931176 0.497804 1.672618
2432 -0.9308 0.577588 -1.001356 0.929972 0.497588 1.669696
2433 -0.9308 0.576722 -1.000614 0.928768 0.497372 1.666774
2434 -0.9308 0.575856 -0.999872 0.927564 0.497156 1.663852
2435 -0.9308 0.57499 -0.99913 0.92636 0.49694 1.66093
2436 -0.9308 0.574124 -0.998388 0.925156 0.496724 1.658008
2437 -0.9308 0.573258 -0.997646 0.923952 0.496508 1.655086
2438 -0.9308 0.572392 -0.996904 0.922748 0.496292 1.652164
2439 -0.9308 0.571526 -0.996162 0.921544 0.496076 1.649242
2440 -0.9308 0.57066 -0.99542 0.92034 0.49586 1.64632
2441 -0.9308 0.569794 -0.994678 0.919136 0.495644 1.643398
2442 -0.9308 0.568928 -0.993936 0.917932 0.495428 1.640476
2443 -0.9308 0.568062 -0.993194 0.916728 0.495212 1.637554
2444 -0.9308 0.567196 -0.992452 0.915524 0.494996 1.634632
2445 -0.9308 0.56633 -0.99171 0.91432 0.49478 1.63171
2446 -0.9308 0.565464 -0.990968 0.913116 0.494564 1.628788
2447 -0.9308 0.564598 -0.990226 0.911912 0.494348 1.625866
2448 -0.9308 0.563732 -0.989484 0.910708 0.494132 1.622944
2449 -0.9308 0.562866 -0.988742 0.909504 0.493916 1.620022
2450 -0.9308 0.562 -0.988 0.9083 0.4937 1.6171
2451 -0.9308 0.56425 -0.986854 0.907176 0.493372 1.61445
2452 -0.9308 0.5665 -0.985708 0.906052 0.493044 1.6118
2453 -0.9308 0.56875 -0.984562 0.904928 0.492716 1.60915
2454 -0.9308 0.571 -0.983416 0.903804 0.492388 1.6065
2455 -0.9308 0.57325 -0.98227 0.90268 0.49206 1.60385
2456 -0.9308 0.5755 -0.981124 0.901556 0.491732 1.6012
2457 -0.9308 0.57775 -0.979978 0.900432 0.491404 1.59855
2458 -0.9308 0.58 -0.978832 0.899308 0.491076 1.5959
2459 -0.9308 0.58225 -0.977686 0.898184 0.490748 1.59325
2460 -0.9308 0.5845 -0.97654 0.89706 0.49042 1.5906
2461 -0.9308 0.58675 -0.975394 0.895936 0.490092 1.58795
2462 -0.9308 0.589 -0.974248 0.894812 0.489764 1.5853
2463 -0.9308 0.59125 -0.973102 0.893688 0.489436 1.58265
2464 -0.9308 0.5935 -0.971956 0.892564 0.489108 1.58
2465 -0.9308 0.59575 -0.97081 0.89144 0.48878 1.57735
2466 -0.9308 0.598 -0.969664 0.890316 0.488452 1.5747
2467 -0.9308 0.60025 -0.968518 0.889192 0.488124 1.57205
2468 -0.9308 0.6025 -0.967372 0.888068 0.487796 1.5694
2469 -0.9308 0.60475 -0.966226 0.886944 0.487468 1.56675
2470 -0.9308 0.607 -0.96508 0.88582 0.48714 1.5641
2471 -0.9308 0.60925 -0.963934 0.884696 0.486812 1.56145
2472 -0.9308 0.6115 -0.962788 0.883572 0.486484 1.5588
2473 -0.9308 0.61375 -0.961642 0.882448 0.486156 1.55615
2474 -0.9308 0.616 -0.960496 0.881324 0.485828 1.5535
2475 -0.9308 0.61825 -0.95935 0.8802 0.4855 1.55085
2476 -0.9308 0.6205 -0.958204 0.879152 0.485104 1.5482
2477 -0.9308 0.62275 -0.957058 0.878104 0.484708 1.54555
2478 -0.9308 0.625 -0.955912 0.877056 0.484312 1.5429
2479 -0.9308 0.62725 -0.954766 0.876008 0.483916 1.54025
2480 -0.9308 0.6295 -0.95362 0.87496 0.48352 1.5376
2481 -0.9308 0.63175 -0.952474 0.873912 0.483124 1.53495
2482 -0.9308 0.634 -0.951328 0.872864 0.482728 1.5323
2483 -0.9308 0.63625 -0.950182 0.871816 0.482332 1.52965
2484 -0.9308 0.6385 -0.949036 0.870768 0.481936 1.527
2485 -0.9308 0.64075 -0.94789 0.86972 0.48154 1.52435
2486 -0.9308 0.643 -0.946744 0.868672 0.481144 1.5217
2487 -0.9308 0.64525 -0.945598 0.867624 0.480748 1.51905
2488 -0.9308 0.6475 -0.944452 0.866576 0.480352 1.5164
2489 -0.9308 0.64975 -0.943306 0.865528 0.479956 1.51375
2490 -0.9308 0.652 -0.94216 0.86448 0.47956 1.5111
2491 -0.9308 0.65425 -0.941014 0.863432 0.479164 1.50845
2492 -0.9308 0.6565 -0.939868 0.862384 0.478768 1.5058
2493 -0.9308 0.65875 -0.938722 0.861336 0.478372 1.50315
2494 -0.9308 0.661 -0.937576 0.860288 0.477976 1.5005
2495 -0.9308 0.66325 -0.93643 0.85924 0.47758 1.49785
2496 -0.9308 0.6655 -0.935284 0.858192 0.477184 1.4952
2497 -0.9308 0.66775 -0.934138 0.857144 0.476788 1.49255
2498 -0.9308 0.67 -0.932992 0.856096 0.476392 1.4899
2499 -0.9308 0.67225 -0.931846 0.855048 0.475996 1.48725
2500 -0.9308 0.6745 -0.9307 0.854 0.4756 1.4846
